id_cliente,tiempo_llegada,tiempo_entre_llegadas,tipo_solicitud,prioridad,tiempo_inicio_atencion,tiempo_fin_atencion,tiempo_espera,tiempo_servicio,tiempo_sistema,registrado_en_metricas
1,6.120361723648807,6.120361723648807,soporte,normal,6.120361723648807,8.374647847826513,0.0,2.254286124177706,2.254286124177706,False
2,7.805727523622318,1.6853657999735114,soporte,normal,7.805727523622318,9.17001359272081,0.0,1.3642860690984921,1.3642860690984921,False
3,21.169456120930604,13.363728597308286,mantenimiento,normal,21.169456120930604,25.141852939619618,0.0,3.9723968186890133,3.9723968186890133,True
4,21.759734018881343,0.5902778979507382,reclamo,normal,21.759734018881343,37.502114037219926,0.0,15.742380018338583,15.742380018338583,True
5,23.089884033863424,1.330150014982081,reclamo,normal,23.089884033863424,27.979798740919623,0.0,4.8899147070561995,4.8899147070561995,True
6,26.668283650835587,3.5783996169721632,soporte,normal,26.668283650835587,34.90695787458117,0.0,8.23867422374558,8.23867422374558,True
7,27.71197101259513,1.0436873617595417,mantenimiento,normal,27.979798740919623,34.13533268913587,0.26782772832449453,6.155533948216249,6.423361676540743,True
8,46.621106903224955,18.909135890629827,soporte,normal,46.621106903224955,52.94401184464598,0.0,6.322904941421022,6.322904941421022,True
9,49.289268832313844,2.668161929088889,mantenimiento,normal,49.289268832313844,60.81470519276638,0.0,11.525436360452538,11.525436360452538,True
10,57.13931141499145,7.850042582677602,mantenimiento,normal,57.13931141499145,71.99805336299883,0.0,14.858741948007385,14.858741948007385,True
11,59.221172280682765,2.0818608656913185,mantenimiento,normal,59.221172280682765,59.92478538453608,0.0,0.7036131038533142,0.7036131038533142,True
